country,period_5yr,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,gini,industry,inflation,trade,unemployment,urban
Bangladesh,1995,1997.0,43.4986686706543,0.21071407176015225,4.796255370737002,568.1921385934762,6.341695538105586,32.9,22.43280380527714,6.497895147098539,27.37582022996824,2.726,22.30224817791206
Bangladesh,2000,2002.0,48.12725067138672,0.38036369606758147,4.836561348810764,659.4008288377902,6.490409314494467,33.4,22.5912635442283,4.160847800738904,28.9806462410963,3.8962000000000003,24.1379416137985
Bangladesh,2005,2007.0,46.006944274902324,0.9906895110773066,6.26507276712002,822.4638605272463,6.7097701661508875,33.2,24.38365584480998,7.448856311644017,39.032990441162504,4.2692,26.40467163362854
Bangladesh,2010,2012.0,51.63698546120347,1.2889788244053761,6.1264582213131735,1050.4400147339443,6.954321939994078,32.1,25.58597053289688,8.05227821379442,44.82901963503912,4.0058,28.4698797324695
Bangladesh,2015,2017.0,63.263818049031684,0.8486891711821469,7.09153917402441,1384.8859109409839,7.2296707344863815,32.4,30.796840193582717,5.7090987816246415,33.5025126658831,4.4124,30.191377314612538
Bangladesh,2020,2022.0,66.11700486381646,0.3579060704173978,5.4969793867961965,1787.550326705878,7.486243623408683,30.9,33.767837294605314,7.856586948219824,29.1072933129918,4.5152,31.80520185660132
Bangladesh,2025,2025.0,,,,,,,,,,3.778,
India,1995,1997.0,44.523612976074226,0.6341210072956508,6.840801263636801,676.0974447188617,6.514519220186665,,27.63428835159406,8.853389994763962,23.18627831360842,7.572,26.97842922573106
India,2000,2002.0,49.495580291748034,0.8409292162631326,5.6504501662354745,812.5405818230962,6.6984016733323894,27.7,27.63349466178048,3.931798360433512,30.099818158260057,7.622400000000001,28.19284586892286
India,2005,2007.0,59.087486267089844,2.2723548836495606,6.918713030448188,1053.3639944943204,6.9574805163200635,27.8,30.72446674775362,7.1294736684240165,46.61070177511772,7.5862,29.79379162199346
India,2010,2012.0,69.24951019287109,1.632393628841438,6.598324491858392,1346.72728106467,7.203326909772436,28.8,29.269317290164043,9.412743078549061,52.687825186688315,7.643800000000001,31.581453038237203
India,2015,2017.0,75.41945190429688,1.7759672694043078,6.6746461984331855,1777.30992329277,7.48025592951293,,26.29399505465588,4.170339071762908,41.25405387933926,7.4056,33.18138062888812
India,2020,2022.0,79.27988435968966,1.3553829566657787,5.441350643374269,2107.5753915826963,7.648255756142133,25.5,25.381077920666137,5.8112114175326735,44.57972001158666,5.481199999999999,34.75467616112836
India,2025,2025.0,79.594985086469,,,,,,,,,4.219,
Nepal,1995,1997.0,38.841023763020836,0.3066382509332224,4.254862273832874,502.44033649655177,6.218962762397646,35.2,21.13688928340764,7.909801025484032,58.25208090699442,10.5012,26.691398816016857
Nepal,2000,2002.0,38.73509502410887,0.09351976342722501,3.949535262777289,565.5410736673576,6.337467844691949,43.8,17.594384681178703,3.349068812186752,49.62727978423516,10.584399999999999,35.7201052832323
Nepal,2005,2007.0,45.39898071289062,0.06358016471710042,4.1786147954087625,642.6317945060742,6.464290891981061,,15.90499726617698,7.4057083004317805,45.3039728742742,10.604,53.033976142213206
Nepal,2010,2012.0,62.149928283691416,0.37525193497267717,4.489000257274556,777.3795310256344,6.654333369042325,32.8,13.786859491382481,9.083541437611377,41.61031761447812,10.6216,63.50139806026093
Nepal,2015,2017.0,73.76975059509275,0.41432830751569394,5.5331755765059825,960.3245529582697,6.863835527990941,,12.978194667688701,5.8818093426303575,46.2241081340609,10.6174,65.52304699759199
Nepal,2020,2022.0,86.72251081292049,0.2771409770939916,2.7495532570972983,1104.8240150273161,7.006304938049953,30.0,11.88335944427464,5.73086013171214,43.00921067334106,11.3752,66.37285145278024
Nepal,2025,2025.0,,,,,,,,,,10.465,
Pakistan,1995,1997.0,,1.0906880134068668,3.4067906962869126,1033.5699652927901,6.9407460622350285,30.9,21.8062297238642,8.892704265426168,35.5293669196725,0.6134000000000001,32.3616374801613
Pakistan,2000,2002.0,20.800974845886202,0.5726024652621213,4.7477642618367835,1080.7446506529982,6.984865416227484,29.799999999999997,17.646349076016623,4.23280601579534,23.524936129917478,0.61,33.38006027862992
Pakistan,2005,2007.0,27.429870223999018,2.2257199696642695,4.673203618207668,1247.53138112099,7.1287231468126135,30.5,20.32197989961492,11.703396467666261,32.27838859070014,0.5042,34.2709114266239
Pakistan,2010,2012.0,30.771123625120502,0.6314162482943132,3.1385423016060523,1289.40461915115,7.161617706284249,29.333333333333332,21.17337870884266,9.883771056627875,31.206142725593423,1.9794,35.22687990005322
Pakistan,2015,2017.0,36.35173156111484,0.6597627269648692,4.774749165620816,1492.6866894489099,7.307169936876212,30.450000000000003,18.80100118077066,5.207181768465167,26.67868662679258,3.5936,36.470724042504045
Pakistan,2020,2022.0,42.81182570650723,0.6031370797110103,2.530390412088395,1601.642629469782,7.378445091204723,33.5,19.77258340516222,16.5022103698929,28.56484310450428,5.6704,38.36160516913568
Pakistan,2025,2025.0,,,,,,,,,,5.42,
Sri Lanka,1995,1997.0,87.1477432250977,1.2983819760650586,4.940883136281478,1779.453022572708,7.483187702057985,35.4,27.045981546318558,9.448064936117548,79.57860671755338,10.453999999999999,15.2496297125743
Sri Lanka,2000,2002.0,,1.1318208115925021,3.9609262133272063,2001.155517117948,7.600499020425917,40.2,27.83839132036588,8.755265415956652,80.1378734503968,8.2,14.688619255417299
Sri Lanka,2005,2007.0,,1.4970059449221984,6.0391732523379416,2552.88796386929,7.842228003503804,37.900000000000006,29.95856738068744,12.706287989274589,65.19796964910776,6.242,15.90473588235272
Sri Lanka,2010,2012.0,93.9539423094078,1.1711010310331968,7.149471397331406,3473.8069192147295,8.148284818540096,38.7,29.82795560583428,6.112956738394218,,4.225,18.06924205263162
Sri Lanka,2015,2017.0,94.57700357138353,1.1634001269914127,3.5619724007442954,4331.456512905948,8.372894157271546,38.5,30.07884872912262,4.218965058901558,47.95296765443216,4.359,19.14810696740248
Sri Lanka,2020,2022.0,88.65973024704037,0.7993688625335176,-1.017472087141716,4153.953912680774,8.331245590963496,,27.8614312593176,15.800328417329098,42.18686087467472,4.728,19.98436904409892
Sri Lanka,2025,2025.0,,,,,,,,,,4.005,
